COUNTY_ID,COUNTY,TOWN_ID,TOWN,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
"10007","彰化縣","10007010","彰化市",1250,14495,58242,24840,55029,20090,19955,333,1733,"110Y"
"10007","彰化縣","10007020","鹿港鎮",206,3335,18874,6854,20915,10479,11030,89,1565,"110Y"
"10007","彰化縣","10007030","和美鎮",238,4025,20652,8187,22308,10898,10233,87,1207,"110Y"
"10007","彰化縣","10007040","線西鄉",32,534,3468,1300,4056,2684,1953,105,336,"110Y"
"10007","彰化縣","10007050","伸港鄉",48,1253,8070,2867,9555,5907,3791,157,810,"110Y"
"10007","彰化縣","10007060","福興鄉",86,1629,9769,3455,11598,6479,6378,190,1196,"110Y"
"10007","彰化縣","10007070","秀水鄉",91,1676,8970,3253,10059,5300,3517,33,586,"110Y"
"10007","彰化縣","10007080","花壇鄉",137,1934,10361,4018,11756,5368,5673,57,607,"110Y"
"10007","彰化縣","10007090","芬園鄉",35,720,4473,1965,6384,3287,3001,61,661,"110Y"
"10007","彰化縣","10007100","員林市",538,7434,30673,11953,30997,10531,11696,112,1152,"110Y"
"10007","彰化縣","10007110","溪湖鎮",129,2235,12046,4686,14136,6029,5943,74,1032,"110Y"
"10007","彰化縣","10007120","田中鎮",117,1790,8695,3685,11804,4276,4896,37,486,"110Y"
"10007","彰化縣","10007130","大村鄉",101,1605,8961,3271,10822,4704,4603,58,736,"110Y"
"10007","彰化縣","10007140","埔鹽鄉",47,992,6834,3455,8648,3535,4361,32,650,"110Y"
"10007","彰化縣","10007150","埔心鄉",71,1289,7530,2841,9604,4223,4409,84,516,"110Y"
"10007","彰化縣","10007160","永靖鄉",71,1429,7915,2920,9729,4166,4900,51,589,"110Y"
"10007","彰化縣","10007170","社頭鄉",85,1604,9367,3583,11910,4722,5230,51,595,"110Y"
